Discounted_Price,Actual_Price,Current_Discount,Rating,Sales,Type,Optimal_Discount
"₹6,999","₹16,990",59%,3.8,110,Electronics,17.039105525248576
"₹42,999","₹59,999",28%,4.1,6753,Electronics,20.048141918511455
₹173,₹999,83%,4.3,1237,Electronics,4.9171822184916
₹209,₹600,65%,4.4,18872,Electronics,3.729484268833324
₹848.99,"₹1,490",43%,3.9,356,Computers&Accessories,31.177968493133445
₹649,"₹1,999",68%,4.2,24269,Computers&Accessories,32.29853359257204
₹299,₹899,67%,3.8,425,Electronics,4.634601358897015
₹399,₹799,50%,4.1,1161,Electronics,4.342274651411601
₹249,₹499,50%,4.1,1508,Computers&Accessories,28.401164418096407
"₹1,249","₹2,299",46%,4.3,7636,Electronics,7.886120207220188
₹213,₹499,57%,3.7,246,Electronics,3.4015025578728895
₹209,₹499,58%,4.0,479,Electronics,3.4015025578728895
₹598,"₹4,999",88%,4.2,910,Electronics,11.58562702596618
₹799,"₹1,749",54%,4.1,5626,Computers&Accessories,31.76927905880305
₹159,₹595,73%,4.3,14184,Computers&Accessories,28.713188003179148
₹499,"₹1,100",55%,4.4,25177,Computers&Accessories,30.192846363248883
"₹31,999","₹49,999",36%,4.3,21252,Electronics,19.76841224934206
"₹32,990","₹56,790",42%,4.3,567,Electronics,19.968242274058394
₹299,"₹1,199",75%,3.5,466,Electronics,5.454992991438353
₹128.31,₹549,77%,3.9,61,Computers&Accessories,28.565023893390183
₹599,₹849,29%,4.5,474,Computers&Accessories,29.489349338396657
₹399,₹899,56%,3.4,431,Electronics,4.634601358897015
₹449,"₹1,099",59%,4.0,242,Computers&Accessories,30.190158473000817
₹254,₹799,68%,4.0,2905,Computers&Accessories,29.341936511635126
₹399,₹795,50%,4.4,12091,Electronics,4.330371733396371
₹179,₹399,55%,4.0,1423,Computers&Accessories,28.06434047721656
₹339,₹999,66%,4.3,6255,Computers&Accessories,29.916844078715123
₹399,₹999,60%,4.0,1236,Electronics,4.9171822184916
₹199,₹399,50%,4.2,1335,Electronics,3.064678616993036
₹349,"₹1,999",83%,3.8,197,Electronics,7.298871732348519
₹299,₹798,63%,4.4,28791,Computers&Accessories,29.33896232183268
₹89,₹800,89%,3.9,1075,Computers&Accessories,29.344909675854876
₹549,₹995,45%,4.2,29746,Computers&Accessories,29.905721846916965
₹129,"₹1,000",87%,3.9,295,Computers&Accessories,29.919622319533033
"₹77,990","₹1,39,900",44%,4.7,5935,Electronics,20.89649600106245
₹349,₹799,56%,3.6,323,Electronics,4.342274651411601
₹499,₹899,44%,3.7,185,Electronics,4.634601358897015
₹299,₹799,63%,4.2,2117,Computers&Accessories,29.341936511635126
₹182,₹599,70%,4.0,9378,Computers&Accessories,28.725956784020738
₹96,₹399,76%,3.6,1796,Electronics,3.064678616993036
"₹54,990","₹85,000",35%,4.3,3587,Electronics,20.475516014865068
₹439,₹758,42%,4.2,4296,Electronics,4.219485757445442
₹299,₹999,70%,4.3,2651,Computers&Accessories,29.916844078715123
₹299,₹799,63%,4.2,94363,Computers&Accessories,29.341936511635126
₹789,"₹1,999",61%,4.2,34540,Computers&Accessories,32.29853359257204
₹299,₹700,57%,4.4,8714,Electronics,4.042767476853374
₹325,"₹1,099",70%,4.2,10576,Computers&Accessories,30.190158473000817
"₹1,299","₹1,999",35%,4.4,7318,Computers&Accessories,32.29853359257204
₹790,"₹1,999",60%,3.0,103,Electronics,7.298871732348519
"₹4,699","₹4,699",0%,4.5,224,Electronics,11.276285853680069
"₹18,999","₹24,990",24%,4.3,4702,Electronics,18.252182311037867
₹199,₹999,80%,4.2,85,Computers&Accessories,29.916844078715123
₹269,₹650,59%,4.4,35877,Electronics,3.8875120817283935
"₹1,990","₹3,100",36%,4.0,897,Electronics,9.240948113630502
"₹2,299","₹3,999",43%,3.8,282,Electronics,10.47428130977438
"₹35,999","₹49,990",28%,4.3,1611,Electronics,19.768114669165854
₹349,₹999,65%,4.2,513,Electronics,4.9171822184916
₹719,"₹1,499",52%,4.1,1045,Computers&Accessories,31.199306373490053
"₹8,999","₹18,999",53%,4.0,6347,Electronics,17.419786840964306
₹917,"₹2,299",60%,4.2,3300,Electronics,7.886120207220188
₹399,₹999,60%,3.3,23,Electronics,4.9171822184916
"₹45,999","₹69,900",34%,4.3,7109,Electronics,20.25151364132999
₹119,₹299,60%,3.8,51,Computers&Accessories,27.714803800315575
"₹21,999","₹29,999",27%,4.2,32840,Electronics,18.729402633847837
₹299,₹599,50%,3.7,708,Electronics,3.7262949237972207
"₹21,990","₹34,990",37%,4.3,1657,Electronics,19.08600196968711
₹417.44,₹670,38%,3.9,523,Computers&Accessories,28.949604682848733
₹199,₹999,80%,3.0,0,Computers&Accessories,29.916844078715123
"₹47,990","₹79,990",40%,4.3,1376,Electronics,20.410018113151143
₹215,₹499,57%,3.5,121,Electronics,3.4015025578728895
₹99,₹800,88%,3.9,1075,Computers&Accessories,29.344909675854876
"₹18,999","₹35,000",46%,4.0,1001,Electronics,19.086627125976182
₹249,₹999,75%,4.3,112,Computers&Accessories,29.916844078715123
"₹7,999","₹15,999",50%,3.8,3022,Electronics,16.824495595903322
₹649,"₹1,600",59%,4.3,5451,Computers&Accessories,31.43477383468455
"₹1,289","₹2,499",48%,3.3,73,Electronics,8.251515777796424
₹609,"₹1,500",59%,4.5,1029,Electronics,6.2020117413607965
"₹32,990","₹54,990",40%,4.1,1555,Electronics,19.919682635227723
₹599,"₹1,999",70%,4.2,47,Electronics,7.298871732348519
₹349,₹899,61%,4.1,14896,Computers&Accessories,29.634263219120538
"₹29,999","₹50,999",41%,4.4,1712,Electronics,19.800880951937362
₹199,₹399,50%,4.2,1335,Electronics,3.064678616993036
₹349,₹699,50%,3.9,214,Electronics,4.03968906666753
"₹1,850","₹4,500",59%,4.0,184,Electronics,11.060311336502497
"₹13,990","₹28,900",52%,4.5,7,Electronics,18.63677461860155
₹129,₹449,71%,3.7,41,Computers&Accessories,28.23429779515547
₹379,₹999,62%,4.2,12153,Electronics,4.9171822184916
₹185,₹499,63%,4.2,25,Electronics,3.4015025578728895
₹218,₹999,78%,4.2,163,Computers&Accessories,29.916844078715123
₹199,₹999,80%,4.3,87,Computers&Accessories,29.916844078715123
₹499,₹900,45%,4.4,2165,Electronics,4.6374745836033
"₹26,999","₹42,999",37%,4.2,1510,Electronics,19.503250388960826
₹893,"₹1,052",15%,4.3,106,Electronics,5.063163808064747
"₹10,990","₹19,990",45%,3.7,129,Electronics,17.58502648572008
₹379,"₹1,099",66%,4.3,3049,Computers&Accessories,30.190158473000817
"₹16,999","₹25,999",35%,4.2,32840,Electronics,18.360716612733817
₹699,"₹1,899",63%,4.4,390,Electronics,7.0917727992621655
"₹2,699","₹3,500",23%,3.5,621,Electronics,9.82192124362324
₹129,₹599,78%,4.1,265,Computers&Accessories,28.725956784020738
₹389,₹999,61%,4.3,838,Computers&Accessories,29.916844078715123
₹246,₹600,59%,4.2,143,Electronics,3.729484268833324
₹299,₹799,63%,4.0,151,Computers&Accessories,29.341936511635126
₹247,₹399,38%,3.9,200,Electronics,3.064678616993036
"₹1,369","₹2,999",54%,3.3,227,Electronics,9.085064430639264
₹199,₹499,60%,3.8,538,Electronics,3.4015025578728895
₹299,₹599,50%,4.0,171,Electronics,3.7262949237972207
"₹14,999","₹14,999",0%,4.3,27508,Electronics,16.586377113475557
₹299,₹699,57%,3.9,1454,Computers&Accessories,29.03935092689105
"₹24,990","₹51,990",52%,4.2,2951,Electronics,19.831933320045316
₹249,₹999,75%,5.0,0,Computers&Accessories,29.916844078715123
"₹61,999","₹69,999",11%,4.1,6753,Electronics,20.253276014628028
"₹24,499","₹50,000",51%,3.9,3518,Electronics,19.768445307794362
"₹10,499","₹19,499",46%,4.2,1510,Electronics,17.50482786886365
₹349,₹999,65%,4.3,838,Computers&Accessories,29.916844078715123
